,Unnamed: 0,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
0,0,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-77.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:34:58.372646', 'order': 1688823298}}"
1,1,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-59.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:34:59.146422', 'order': 1688823299}}"
2,2,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-26.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:34:59.872021', 'order': 1688823299}}"
3,3,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-123.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:00.610250', 'order': 1688823300}}"
4,4,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-97.jpg,stabilityai,3,1,2,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 94.8419189453125, 'left': 458, 'top': 147, 'width': 39, 'height': 54, 'gender': {'gender': 'Male', 'confidence': 99.95689392089844}, 'age': {'minimum': 35, 'maximum': 43}}, {'confidence': 99.2012710571289, 'left': 44, 'top': 152, 'width': 38, 'height': 54, 'gender': {'gender': 'Female', 'confidence': 67.73004913330078}, 'age': {'minimum': 24, 'maximum': 34}}, {'confidence': 99.69430541992188, 'left': 98, 'top': 189, 'width': 35, 'height': 42, 'gender': {'gender': 'Male', 'confidence': 99.95407104492188}, 'age': {'minimum': 47, 'maximum': 53}}], 'date': '2023-07-08T13:35:01.740392', 'order': 1688823301}}"
5,5,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-159.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.9555892944336, 'left': 388, 'top': 69, 'width': 41, 'height': 53, 'gender': {'gender': 'Male', 'confidence': 93.752685546875}, 'age': {'minimum': 30, 'maximum': 40}}, {'confidence': 99.69015502929688, 'left': 302, 'top': 108, 'width': 34, 'height': 36, 'gender': {'gender': 'Male', 'confidence': 97.24917602539062}, 'age': {'minimum': 27, 'maximum': 37}}], 'date': '2023-07-08T13:35:02.779552', 'order': 1688823302}}"
6,6,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-89.jpg,stabilityai,9,1,8,0,9,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.95942687988281, 'left': 259, 'top': 211, 'width': 42, 'height': 63, 'gender': {'gender': 'Male', 'confidence': 94.51349639892578}, 'age': {'minimum': 41, 'maximum': 49}}, {'confidence': 99.294677734375, 'left': 69, 'top': 194, 'width': 38, 'height': 57, 'gender': {'gender': 'Male', 'confidence': 99.95902252197266}, 'age': {'minimum': 33, 'maximum': 41}}, {'confidence': 99.75232696533203, 'left': 445, 'top': 207, 'width': 37, 'height': 53, 'gender': {'gender': 'Male', 'confidence': 99.89591979980469}, 'age': {'minimum': 34, 'maximum': 42}}, {'confidence': 97.212646484375, 'left': 472, 'top': 229, 'width': 32, 'height': 58, 'gender': {'gender': 'Male', 'confidence': 98.44120788574219}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.7674560546875, 'left': 170, 'top': 225, 'width': 33, 'height': 55, 'gender': {'gender': 'Male', 'confidence': 82.07633209228516}, 'age': {'minimum': 27, 'maximum': 37}}, {'confidence': 99.50247192382812, 'left': 110, 'top': 190, 'width': 36, 'height': 50, 'gender': {'gender': 'Male', 'confidence': 99.89716339111328}, 'age': {'minimum': 27, 'maximum': 37}}, {'confidence': 98.80320739746094, 'left': 205, 'top': 217, 'width': 35, 'height': 49, 'gender': {'gender': 'Female', 'confidence': 98.16938018798828}, 'age': {'minimum': 23, 'maximum': 31}}, {'confidence': 99.97076416015625, 'left': 176, 'top': 381, 'width': 29, 'height': 40, 'gender': {'gender': 'Male', 'confidence': 74.84597778320312}, 'age': {'minimum': 27, 'maximum': 37}}, {'confidence': 99.35751342773438, 'left': 412, 'top': 195, 'width': 30, 'height': 39, 'gender': {'gender': 'Male', 'confidence': 99.93360900878906}, 'age': {'minimum': 34, 'maximum': 42}}], 'date': '2023-07-08T13:35:04.192509', 'order': 1688823304}}"
7,7,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-104.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:05.058727', 'order': 1688823305}}"
8,8,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-135.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 97.17967224121094, 'left': 51, 'top': 315, 'width': 14, 'height': 22, 'gender': {'gender': 'Male', 'confidence': 76.62480163574219}, 'age': {'minimum': 19, 'maximum': 27}}, {'confidence': 94.80632781982422, 'left': 244, 'top': 249, 'width': 15, 'height': 19, 'gender': {'gender': 'Male', 'confidence': 99.21569061279297}, 'age': {'minimum': 29, 'maximum': 39}}], 'date': '2023-07-08T13:35:06.068092', 'order': 1688823306}}"
9,9,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-173.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:06.751447', 'order': 1688823306}}"
