,image_id,generator,number,female,male,age_details
0,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-72.jpg,stabilityai,2,1,1,"[['Female', 1], ['Male', 28]]"
1,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-148.jpg,stabilityai,3,2,1,"[['Female', 28], ['Male', 1], ['Female', 5]]"
2,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-36.jpg,stabilityai,3,3,0,"[['Female', 28], ['Female', 80], ['Female', 28]]"
3,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-12.jpg,stabilityai,2,1,1,"[['Female', 28], ['Male', 28]]"
4,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-140.jpg,stabilityai,4,4,0,"[['Female', 40], ['Female', 28], ['Female', 28], ['Female', 28]]"
5,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-0.jpg,stabilityai,2,0,2,"[['Male', 80], ['Male', 28]]"
6,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-26.jpg,stabilityai,1,1,0,"[['Female', 1]]"
7,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-19.jpg,stabilityai,3,3,0,"[['Female', 28], ['Female', 28], ['Female', 28]]"
8,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-18.jpg,stabilityai,2,1,1,"[['Female', 1], ['Male', 28]]"
9,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-161.jpg,stabilityai,1,0,1,"[['Male', 1]]"
10,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-130.jpg,stabilityai,1,1,0,"[['Female', 80]]"
11,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-157.jpg,stabilityai,2,1,1,"[['Female', 80], ['Male', 40]]"
12,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-71.jpg,stabilityai,2,1,1,"[['Male', 50], ['Female', 28]]"
13,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-13.jpg,stabilityai,3,1,2,"[['Male', 80], ['Male', 28], ['Female', 80]]"
14,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-102.jpg,stabilityai,2,2,0,"[['Female', 28], ['Female', 80]]"
15,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-188.jpg,stabilityai,1,1,0,"[['Female', 80]]"
16,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-68.jpg,stabilityai,1,1,0,"[['Female', 80]]"
17,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-48.jpg,stabilityai,1,0,1,"[['Male', 40]]"
18,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-107.jpg,stabilityai,1,0,1,"[['Male', 28]]"
19,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-41.jpg,stabilityai,4,2,2,"[['Female', 1], ['Male', 28], ['Male', 80], ['Female', 50]]"
20,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-64.jpg,stabilityai,2,0,2,"[['Male', 80], ['Male', 28]]"
21,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-120.jpg,stabilityai,3,1,2,"[['Female', 40], ['Male', 28], ['Male', 80]]"
22,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-87.jpg,stabilityai,3,3,0,"[['Female', 28], ['Female', 80], ['Female', 10]]"
23,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-5.jpg,stabilityai,2,2,0,"[['Female', 28], ['Female', 28]]"
24,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-74.jpg,stabilityai,4,1,3,"[['Female', 28], ['Male', 80], ['Male', 28], ['Male', 28]]"
25,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-149.jpg,stabilityai,3,2,1,"[['Female', 28], ['Male', 28], ['Female', 80]]"
26,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-198.jpg,stabilityai,3,2,1,"[['Male', 40], ['Female', 28], ['Female', 40]]"
27,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-89.jpg,stabilityai,2,0,2,"[['Male', 28], ['Male', 28]]"
28,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-172.jpg,stabilityai,2,1,1,"[['Male', 28], ['Female', 28]]"
29,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-57.jpg,stabilityai,3,2,1,"[['Female', 28], ['Female', 28], ['Male', 80]]"
30,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-184.jpg,stabilityai,1,0,1,"[['Male', 80]]"
31,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-101.jpg,stabilityai,2,2,0,"[['Female', 28], ['Female', 28]]"
32,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-61.jpg,stabilityai,2,1,1,"[['Female', 80], ['Male', 80]]"
33,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-195.jpg,stabilityai,2,2,0,"[['Female', 80], ['Female', 40]]"
34,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-187.jpg,stabilityai,0,0,0,[]
35,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-178.jpg,stabilityai,2,0,2,"[['Male', 1], ['Male', 28]]"
36,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-25.jpg,stabilityai,1,1,0,"[['Female', 1]]"
37,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-88.jpg,stabilityai,3,2,1,"[['Female', 80], ['Female', 28], ['Male', 40]]"
38,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-1.jpg,stabilityai,2,0,2,"[['Male', 1], ['Male', 28]]"
39,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-156.jpg,stabilityai,2,1,1,"[['Male', 28], ['Female', 40]]"
40,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-111.jpg,stabilityai,2,0,2,"[['Male', 28], ['Male', 28]]"
41,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-179.jpg,stabilityai,1,1,0,"[['Female', 80]]"
42,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-54.jpg,stabilityai,2,1,1,"[['Male', 17], ['Female', 28]]"
43,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-138.jpg,stabilityai,0,0,0,[]
44,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-7.jpg,stabilityai,3,2,1,"[['Female', 28], ['Male', 80], ['Female', 1]]"
45,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-78.jpg,stabilityai,2,0,2,"[['Male', 40], ['Male', 28]]"
46,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-52.jpg,stabilityai,5,3,2,"[['Female', 28], ['Female', 28], ['Male', 1], ['Female', 80], ['Male', 80]]"
47,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-118.jpg,stabilityai,3,0,3,"[['Male', 28], ['Male', 28], ['Male', 28]]"
48,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-3.jpg,stabilityai,1,1,0,"[['Female', 80]]"
49,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-159.jpg,stabilityai,2,1,1,"[['Female', 28], ['Male', 80]]"
50,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-100.jpg,stabilityai,1,1,0,"[['Female', 40]]"
51,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-91.jpg,stabilityai,2,0,2,"[['Male', 1], ['Male', 28]]"
52,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-145.jpg,stabilityai,2,2,0,"[['Female', 80], ['Female', 28]]"
53,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-65.jpg,stabilityai,1,1,0,"[['Female', 28]]"
54,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-35.jpg,stabilityai,2,1,1,"[['Female', 80], ['Male', 1]]"
55,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-115.jpg,stabilityai,2,1,1,"[['Female', 50], ['Male', 80]]"
56,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-9.jpg,stabilityai,3,3,0,"[['Female', 40], ['Female', 40], ['Female', 28]]"
57,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-132.jpg,stabilityai,1,0,1,"[['Male', 10]]"
58,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-15.jpg,stabilityai,1,1,0,"[['Female', 80]]"
59,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-83.jpg,stabilityai,2,2,0,"[['Female', 80], ['Female', 28]]"
60,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_2/SD-STABLILITY-P2-103.jpg,stabilityai,2,2,0,"[['Female', 1], ['Female', 28]]"
