,Unnamed: 0.1,Unnamed: 0,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
0,0,0,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-140.jpg,stabilityai,3,2,1,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 98.74132537841797, 'left': 294, 'top': 54, 'width': 63, 'height': 71, 'gender': {'gender': 'Male', 'confidence': 93.72734069824219}, 'age': {'minimum': 20, 'maximum': 28}}, {'confidence': 98.09362030029297, 'left': 185, 'top': 151, 'width': 42, 'height': 62, 'gender': {'gender': 'Female', 'confidence': 95.61750793457031}, 'age': {'minimum': 12, 'maximum': 20}}, {'confidence': 99.02460479736328, 'left': 392, 'top': 155, 'width': 43, 'height': 56, 'gender': {'gender': 'Female', 'confidence': 70.79246520996094}, 'age': {'minimum': 21, 'maximum': 29}}], 'date': '2023-06-28T19:36:52.674917', 'order': 1687981012}}"
1,1,1,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-14.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 98.71714782714844, 'left': 345, 'top': 220, 'width': 34, 'height': 48, 'gender': {'gender': 'Male', 'confidence': 95.98493957519531}, 'age': {'minimum': 22, 'maximum': 30}}], 'date': '2023-06-28T19:36:53.750497', 'order': 1687981013}}"
2,2,2,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-37.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.72672271728516, 'left': 329, 'top': 83, 'width': 54, 'height': 70, 'gender': {'gender': 'Female', 'confidence': 96.84332275390625}, 'age': {'minimum': 26, 'maximum': 36}}, {'confidence': 99.46422576904297, 'left': 184, 'top': 49, 'width': 56, 'height': 66, 'gender': {'gender': 'Female', 'confidence': 97.64476013183594}, 'age': {'minimum': 14, 'maximum': 22}}], 'date': '2023-06-28T19:36:54.839018', 'order': 1687981014}}"
3,3,3,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-45.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 97.6821517944336, 'left': 330, 'top': 162, 'width': 36, 'height': 48, 'gender': {'gender': 'Male', 'confidence': 70.31316375732422}, 'age': {'minimum': 22, 'maximum': 30}}], 'date': '2023-06-28T19:36:55.815325', 'order': 1687981015}}"
4,4,4,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-143.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.24518585205078, 'left': 375, 'top': 14, 'width': 41, 'height': 58, 'gender': {'gender': 'Male', 'confidence': 64.2846450805664}, 'age': {'minimum': 26, 'maximum': 36}}], 'date': '2023-06-28T19:36:56.857596', 'order': 1687981016}}"
5,5,5,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-132.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 96.61363983154297, 'left': 134, 'top': 38, 'width': 47, 'height': 63, 'gender': {'gender': 'Female', 'confidence': 98.76388549804688}, 'age': {'minimum': 16, 'maximum': 24}}, {'confidence': 96.53997802734375, 'left': 334, 'top': 220, 'width': 43, 'height': 51, 'gender': {'gender': 'Female', 'confidence': 95.40708923339844}, 'age': {'minimum': 18, 'maximum': 24}}], 'date': '2023-06-28T19:36:58.013436', 'order': 1687981018}}"
6,6,6,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-121.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.24191284179688, 'left': 95, 'top': 163, 'width': 40, 'height': 48, 'gender': {'gender': 'Male', 'confidence': 99.7334976196289}, 'age': {'minimum': 16, 'maximum': 24}}], 'date': '2023-06-28T19:36:59.129243', 'order': 1687981019}}"
7,7,7,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-196.jpg,stabilityai,3,3,0,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.95429229736328, 'left': 270, 'top': 59, 'width': 38, 'height': 57, 'gender': {'gender': 'Female', 'confidence': 90.1031494140625}, 'age': {'minimum': 23, 'maximum': 31}}, {'confidence': 99.99158477783203, 'left': 382, 'top': 52, 'width': 38, 'height': 51, 'gender': {'gender': 'Female', 'confidence': 99.91845703125}, 'age': {'minimum': 26, 'maximum': 36}}, {'confidence': 99.97606658935547, 'left': 23, 'top': 223, 'width': 31, 'height': 43, 'gender': {'gender': 'Female', 'confidence': 99.9314193725586}, 'age': {'minimum': 22, 'maximum': 30}}], 'date': '2023-06-28T19:37:00.237447', 'order': 1687981020}}"
8,8,8,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-197.jpg,stabilityai,2,1,1,1,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.90164947509766, 'left': 234, 'top': 128, 'width': 41, 'height': 52, 'gender': {'gender': 'Female', 'confidence': 99.90128326416016}, 'age': {'minimum': 7, 'maximum': 17}}, {'confidence': 94.41117095947266, 'left': 186, 'top': 277, 'width': 32, 'height': 39, 'gender': {'gender': 'Male', 'confidence': 99.54937744140625}, 'age': {'minimum': 23, 'maximum': 31}}], 'date': '2023-06-28T19:37:01.323384', 'order': 1687981021}}"
9,9,9,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_4/SD-STABLILITY-P4-176.jpg,stabilityai,3,3,0,0,3,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.96855163574219, 'left': 311, 'top': 99, 'width': 42, 'height': 57, 'gender': {'gender': 'Female', 'confidence': 99.77452087402344}, 'age': {'minimum': 25, 'maximum': 35}}, {'confidence': 99.81898498535156, 'left': 258, 'top': 233, 'width': 23, 'height': 33, 'gender': {'gender': 'Female', 'confidence': 97.59237670898438}, 'age': {'minimum': 23, 'maximum': 33}}, {'confidence': 99.15959167480469, 'left': 116, 'top': 184, 'width': 21, 'height': 37, 'gender': {'gender': 'Female', 'confidence': 53.10383605957031}, 'age': {'minimum': 20, 'maximum': 28}}], 'date': '2023-06-28T19:37:02.444006', 'order': 1687981022}}"
